problem_id,family,size_label,corruption_type,is_correct,verdict,disagreeing_moduli,claimed_sign,claimed_digits,claimed_prefix,claimed_suffix
fibonacci_large,fibonacci,F(20000),digit_transpose,0,RULED_OUT_WRONG,7 11 13 37 101,+,4180,5231162323732361,7683971213093125
fibonacci_large,fibonacci,F(20000),off_by_power10,0,RULED_OUT_WRONG,7 9 11 13 37 101,+,4180,2531162323732361,7683971213093125
fibonacci_large,fibonacci,F(20000),sign_flip,0,RULED_OUT_WRONG,9 13 37,-,4180,2531162323732361,7683971213093125
fibonacci_large,fibonacci,F(20000),off_by_multiple_of_9,0,RULED_OUT_WRONG,7 11 13 37 101,+,4180,2531162323732361,7683971214803485
bigsum_medium,bigsum,899 cubic terms,correct,1,NOT_RULED_OUT,,+,24,1587494702309754,0230975415192500
bigsum_medium,bigsum,899 cubic terms,random_offset,0,RULED_OUT_WRONG,7 9 11 13 37 101,+,24,1587494702309754,0230975415611808
bigsum_medium,bigsum,899 cubic terms,digit_transpose,0,RULED_OUT_WRONG,7 11 13 37 101,+,24,5187494702309754,0230975415192500
bigsum_medium,bigsum,899 cubic terms,off_by_power10,0,RULED_OUT_WRONG,7 9 11 13 37 101,+,24,2587494702309754,0230975415192500
bigsum_medium,bigsum,899 cubic terms,sign_flip,0,RULED_OUT_WRONG,7 9 13 37 101,-,24,1587494702309754,0230975415192500
bigsum_medium,bigsum,899 cubic terms,off_by_multiple_of_9,0,RULED_OUT_WRONG,7 11 13 37 101,+,24,1587494702309754,0230975416085318
bigprod_medium,bigprod,259 factors,correct,1,NOT_RULED_OUT,,+,927,1964798642999435,0000000000000000
bigprod_medium,bigprod,259 factors,random_offset,0,RULED_OUT_WRONG,7 9 11 13 37 101,+,927,1964798642999435,0000000000319857
bigprod_medium,bigprod,259 factors,digit_transpose,0,RULED_OUT_WRONG,7 11 13 37 101,+,927,9164798642999435,0000000000000000
bigprod_medium,bigprod,259 factors,off_by_power10,0,RULED_OUT_WRONG,7 9 11 13 37 101,+,927,1964798642999435,0000000000000000
bigprod_medium,bigprod,259 factors,sign_flip,0,RULED_OUT_WRONG,37,-,927,1964798642999435,0000000000000000
bigprod_medium,bigprod,259 factors,off_by_multiple_of_9,0,RULED_OUT_WRONG,7 11 13 37 101,+,927,1964798642999435,0000000000907281
