setting,model,metric_type,label,accuracy,precision,recall,f1,support
base_plus_boundary_train,char_3_5gram_nb,per_role,EXAMPLE,,0.428571,0.600000,0.500000,10
base_plus_boundary_train,centroid,overall,ALL,0.531646,,,,79
base_plus_boundary_train,centroid,per_role,BACKGROUND,,0.600000,0.600000,0.600000,10
base_plus_boundary_train,centroid,per_role,CLAIM,,0.357143,0.500000,0.416667,10
base_plus_boundary_train,centroid,per_role,DEFINE,,0.666667,0.600000,0.631579,10
base_plus_boundary_train,centroid,per_role,METHOD,,0.357143,0.500000,0.416667,10
base_plus_boundary_train,centroid,per_role,RESULT,,0.625000,0.500000,0.555556,10
base_plus_boundary_train,centroid,per_role,LIMITATION,,0.666667,0.400000,0.500000,10
base_plus_boundary_train,centroid,per_role,NEXT_STEP,,1.000000,0.444444,0.615385,9
base_plus_boundary_train,centroid,per_role,EXAMPLE,,0.500000,0.700000,0.583333,10
base_plus_boundary_train_dev,word_unigram_nb,overall,ALL,0.468354,,,,79
base_plus_boundary_train_dev,word_unigram_nb,per_role,BACKGROUND,,0.666667,0.400000,0.500000,10
base_plus_boundary_train_dev,word_unigram_nb,per_role,CLAIM,,0.411765,0.700000,0.518519,10
base_plus_boundary_train_dev,word_unigram_nb,per_role,DEFINE,,0.750000,0.300000,0.428571,10
base_plus_boundary_train_dev,word_unigram_nb,per_role,METHOD,,0.272727,0.600000,0.375000,10
base_plus_boundary_train_dev,word_unigram_nb,per_role,RESULT,,0.461538,0.600000,0.521739,10
base_plus_boundary_train_dev,word_unigram_nb,per_role,LIMITATION,,0.666667,0.200000,0.307692,10
base_plus_boundary_train_dev,word_unigram_nb,per_role,NEXT_STEP,,1.000000,0.111111,0.200000,9
base_plus_boundary_train_dev,word_unigram_nb,per_role,EXAMPLE,,0.615385,0.800000,0.695652,10
base_plus_boundary_train_dev,word_unigram_bigram_nb,overall,ALL,0.430380,,,,79
base_plus_boundary_train_dev,word_unigram_bigram_nb,per_role,BACKGROUND,,0.800000,0.400000,0.533333,10
base_plus_boundary_train_dev,word_unigram_bigram_nb,per_role,CLAIM,,0.368421,0.700000,0.482759,10
base_plus_boundary_train_dev,word_unigram_bigram_nb,per_role,DEFINE,,0.666667,0.200000,0.307692,10
base_plus_boundary_train_dev,word_unigram_bigram_nb,per_role,METHOD,,0.300000,0.600000,0.400000,10
base_plus_boundary_train_dev,word_unigram_bigram_nb,per_role,RESULT,,0.461538,0.600000,0.521739,10
base_plus_boundary_train_dev,word_unigram_bigram_nb,per_role,LIMITATION,,0.666667,0.200000,0.307692,10
base_plus_boundary_train_dev,word_unigram_bigram_nb,per_role,NEXT_STEP,,0.000000,0.000000,0.000000,9
base_plus_boundary_train_dev,word_unigram_bigram_nb,per_role,EXAMPLE,,0.437500,0.700000,0.538462,10
base_plus_boundary_train_dev,char_3_5gram_nb,overall,ALL,0.417722,,,,79
base_plus_boundary_train_dev,char_3_5gram_nb,per_role,BACKGROUND,,0.666667,0.400000,0.500000,10
base_plus_boundary_train_dev,char_3_5gram_nb,per_role,CLAIM,,0.416667,0.500000,0.454545,10
base_plus_boundary_train_dev,char_3_5gram_nb,per_role,DEFINE,,0.375000,0.300000,0.333333,10
base_plus_boundary_train_dev,char_3_5gram_nb,per_role,METHOD,,0.217391,0.500000,0.303030,10
base_plus_boundary_train_dev,char_3_5gram_nb,per_role,RESULT,,0.545455,0.600000,0.571429,10
base_plus_boundary_train_dev,char_3_5gram_nb,per_role,LIMITATION,,1.000000,0.200000,0.333333,10
base_plus_boundary_train_dev,char_3_5gram_nb,per_role,NEXT_STEP,,0.000000,0.000000,0.000000,9
base_plus_boundary_train_dev,char_3_5gram_nb,per_role,EXAMPLE,,0.500000,0.800000,0.615385,10
base_plus_boundary_train_dev,centroid,overall,ALL,0.518987,,,,79
base_plus_boundary_train_dev,centroid,per_role,BACKGROUND,,0.600000,0.600000,0.600000,10
base_plus_boundary_train_dev,centroid,per_role,CLAIM,,0.363636,0.400000,0.380952,10
base_plus_boundary_train_dev,centroid,per_role,DEFINE,,0.600000,0.600000,0.600000,10
base_plus_boundary_train_dev,centroid,per_role,METHOD,,0.312500,0.500000,0.384615,10
base_plus_boundary_train_dev,centroid,per_role,RESULT,,0.666667,0.600000,0.631579,10
base_plus_boundary_train_dev,centroid,per_role,LIMITATION,,0.600000,0.300000,0.400000,10
base_plus_boundary_train_dev,centroid,per_role,NEXT_STEP,,1.000000,0.444444,0.615385,9
base_plus_boundary_train_dev,centroid,per_role,EXAMPLE,,0.500000,0.700000,0.583333,10
