setting,model,testset,metric,label,value
old_train_only,char_3_5gram_nb,locked_fresh_adjudicated,per_role_f1,NEXT_STEP,0.500000
old_train_only,char_3_5gram_nb,locked_fresh_adjudicated,per_role_f1,EXAMPLE,0.380952
old_train_only,char_3_5gram_nb,expanded_test_v2,fine_8_accuracy,ALL,0.500000
old_train_only,char_3_5gram_nb,expanded_test_v2,coarse_5_accuracy,ALL,0.535714
old_train_only,char_3_5gram_nb,expanded_test_v2,coarse_4_accuracy,ALL,0.559524
old_train_only,char_3_5gram_nb,expanded_test_v2,coarse_3_accuracy,ALL,0.833333
old_train_only,char_3_5gram_nb,expanded_test_v2,per_role_f1,BACKGROUND,0.720000
old_train_only,char_3_5gram_nb,expanded_test_v2,per_role_f1,CLAIM,0.545455
old_train_only,char_3_5gram_nb,expanded_test_v2,per_role_f1,DEFINE,0.500000
old_train_only,char_3_5gram_nb,expanded_test_v2,per_role_f1,METHOD,0.521739
old_train_only,char_3_5gram_nb,expanded_test_v2,per_role_f1,RESULT,0.300000
old_train_only,char_3_5gram_nb,expanded_test_v2,per_role_f1,LIMITATION,0.461538
old_train_only,char_3_5gram_nb,expanded_test_v2,per_role_f1,NEXT_STEP,0.363636
old_train_only,char_3_5gram_nb,expanded_test_v2,per_role_f1,EXAMPLE,0.400000
old_train_only,simple_centroid_tfidf_like,locked_fresh_adjudicated,fine_8_accuracy,ALL,0.455696
old_train_only,simple_centroid_tfidf_like,locked_fresh_adjudicated,coarse_5_accuracy,ALL,0.582278
old_train_only,simple_centroid_tfidf_like,locked_fresh_adjudicated,coarse_4_accuracy,ALL,0.620253
old_train_only,simple_centroid_tfidf_like,locked_fresh_adjudicated,coarse_3_accuracy,ALL,0.797468
old_train_only,simple_centroid_tfidf_like,locked_fresh_adjudicated,per_role_f1,BACKGROUND,0.266667
old_train_only,simple_centroid_tfidf_like,locked_fresh_adjudicated,per_role_f1,CLAIM,0.320000
old_train_only,simple_centroid_tfidf_like,locked_fresh_adjudicated,per_role_f1,DEFINE,0.560000
old_train_only,simple_centroid_tfidf_like,locked_fresh_adjudicated,per_role_f1,METHOD,0.347826
old_train_only,simple_centroid_tfidf_like,locked_fresh_adjudicated,per_role_f1,RESULT,0.250000
old_train_only,simple_centroid_tfidf_like,locked_fresh_adjudicated,per_role_f1,LIMITATION,0.666667
old_train_only,simple_centroid_tfidf_like,locked_fresh_adjudicated,per_role_f1,NEXT_STEP,0.571429
old_train_only,simple_centroid_tfidf_like,locked_fresh_adjudicated,per_role_f1,EXAMPLE,0.636364
old_train_only,simple_centroid_tfidf_like,expanded_test_v2,fine_8_accuracy,ALL,0.404762
old_train_only,simple_centroid_tfidf_like,expanded_test_v2,coarse_5_accuracy,ALL,0.511905
old_train_only,simple_centroid_tfidf_like,expanded_test_v2,coarse_4_accuracy,ALL,0.535714
old_train_only,simple_centroid_tfidf_like,expanded_test_v2,coarse_3_accuracy,ALL,0.702381
old_train_only,simple_centroid_tfidf_like,expanded_test_v2,per_role_f1,BACKGROUND,0.526316
old_train_only,simple_centroid_tfidf_like,expanded_test_v2,per_role_f1,CLAIM,0.105263
old_train_only,simple_centroid_tfidf_like,expanded_test_v2,per_role_f1,DEFINE,0.230769
old_train_only,simple_centroid_tfidf_like,expanded_test_v2,per_role_f1,METHOD,0.720000
old_train_only,simple_centroid_tfidf_like,expanded_test_v2,per_role_f1,RESULT,0.444444
old_train_only,simple_centroid_tfidf_like,expanded_test_v2,per_role_f1,LIMITATION,0.181818
old_train_only,simple_centroid_tfidf_like,expanded_test_v2,per_role_f1,NEXT_STEP,0.400000
old_train_only,simple_centroid_tfidf_like,expanded_test_v2,per_role_f1,EXAMPLE,0.380952
old_plus_expanded_train,word_unigram_nb,locked_fresh_adjudicated,fine_8_accuracy,ALL,0.468354
old_plus_expanded_train,word_unigram_nb,locked_fresh_adjudicated,coarse_5_accuracy,ALL,0.569620
old_plus_expanded_train,word_unigram_nb,locked_fresh_adjudicated,coarse_4_accuracy,ALL,0.645570
old_plus_expanded_train,word_unigram_nb,locked_fresh_adjudicated,coarse_3_accuracy,ALL,0.835443
old_plus_expanded_train,word_unigram_nb,locked_fresh_adjudicated,per_role_f1,BACKGROUND,0.533333
old_plus_expanded_train,word_unigram_nb,locked_fresh_adjudicated,per_role_f1,CLAIM,0.461538
old_plus_expanded_train,word_unigram_nb,locked_fresh_adjudicated,per_role_f1,DEFINE,0.461538
old_plus_expanded_train,word_unigram_nb,locked_fresh_adjudicated,per_role_f1,METHOD,0.384615
old_plus_expanded_train,word_unigram_nb,locked_fresh_adjudicated,per_role_f1,RESULT,0.300000
old_plus_expanded_train,word_unigram_nb,locked_fresh_adjudicated,per_role_f1,LIMITATION,0.625000
old_plus_expanded_train,word_unigram_nb,locked_fresh_adjudicated,per_role_f1,NEXT_STEP,0.555556
old_plus_expanded_train,word_unigram_nb,locked_fresh_adjudicated,per_role_f1,EXAMPLE,0.500000
old_plus_expanded_train,word_unigram_nb,expanded_test_v2,fine_8_accuracy,ALL,0.976190
old_plus_expanded_train,word_unigram_nb,expanded_test_v2,coarse_5_accuracy,ALL,0.976190
old_plus_expanded_train,word_unigram_nb,expanded_test_v2,coarse_4_accuracy,ALL,0.976190
old_plus_expanded_train,word_unigram_nb,expanded_test_v2,coarse_3_accuracy,ALL,0.976190
old_plus_expanded_train,word_unigram_nb,expanded_test_v2,per_role_f1,BACKGROUND,1.000000
old_plus_expanded_train,word_unigram_nb,expanded_test_v2,per_role_f1,CLAIM,0.969697
old_plus_expanded_train,word_unigram_nb,expanded_test_v2,per_role_f1,DEFINE,1.000000
old_plus_expanded_train,word_unigram_nb,expanded_test_v2,per_role_f1,METHOD,1.000000
old_plus_expanded_train,word_unigram_nb,expanded_test_v2,per_role_f1,RESULT,1.000000
old_plus_expanded_train,word_unigram_nb,expanded_test_v2,per_role_f1,LIMITATION,0.750000
old_plus_expanded_train,word_unigram_nb,expanded_test_v2,per_role_f1,NEXT_STEP,1.000000
old_plus_expanded_train,word_unigram_nb,expanded_test_v2,per_role_f1,EXAMPLE,0.956522
old_plus_expanded_train,word_unigram_bigram_nb,locked_fresh_adjudicated,fine_8_accuracy,ALL,0.506329
old_plus_expanded_train,word_unigram_bigram_nb,locked_fresh_adjudicated,coarse_5_accuracy,ALL,0.607595
old_plus_expanded_train,word_unigram_bigram_nb,locked_fresh_adjudicated,coarse_4_accuracy,ALL,0.670886
old_plus_expanded_train,word_unigram_bigram_nb,locked_fresh_adjudicated,coarse_3_accuracy,ALL,0.835443
old_plus_expanded_train,word_unigram_bigram_nb,locked_fresh_adjudicated,per_role_f1,BACKGROUND,0.533333
old_plus_expanded_train,word_unigram_bigram_nb,locked_fresh_adjudicated,per_role_f1,CLAIM,0.400000
old_plus_expanded_train,word_unigram_bigram_nb,locked_fresh_adjudicated,per_role_f1,DEFINE,0.461538
old_plus_expanded_train,word_unigram_bigram_nb,locked_fresh_adjudicated,per_role_f1,METHOD,0.384615
old_plus_expanded_train,word_unigram_bigram_nb,locked_fresh_adjudicated,per_role_f1,RESULT,0.352941
old_plus_expanded_train,word_unigram_bigram_nb,locked_fresh_adjudicated,per_role_f1,LIMITATION,0.666667
old_plus_expanded_train,word_unigram_bigram_nb,locked_fresh_adjudicated,per_role_f1,NEXT_STEP,0.600000
old_plus_expanded_train,word_unigram_bigram_nb,locked_fresh_adjudicated,per_role_f1,EXAMPLE,0.666667
old_plus_expanded_train,word_unigram_bigram_nb,expanded_test_v2,fine_8_accuracy,ALL,0.988095
old_plus_expanded_train,word_unigram_bigram_nb,expanded_test_v2,coarse_5_accuracy,ALL,0.988095
old_plus_expanded_train,word_unigram_bigram_nb,expanded_test_v2,coarse_4_accuracy,ALL,0.988095
old_plus_expanded_train,word_unigram_bigram_nb,expanded_test_v2,coarse_3_accuracy,ALL,0.988095
old_plus_expanded_train,word_unigram_bigram_nb,expanded_test_v2,per_role_f1,BACKGROUND,1.000000
old_plus_expanded_train,word_unigram_bigram_nb,expanded_test_v2,per_role_f1,CLAIM,1.000000
old_plus_expanded_train,word_unigram_bigram_nb,expanded_test_v2,per_role_f1,DEFINE,0.933333
old_plus_expanded_train,word_unigram_bigram_nb,expanded_test_v2,per_role_f1,METHOD,1.000000
old_plus_expanded_train,word_unigram_bigram_nb,expanded_test_v2,per_role_f1,RESULT,1.000000
old_plus_expanded_train,word_unigram_bigram_nb,expanded_test_v2,per_role_f1,LIMITATION,0.888889
old_plus_expanded_train,word_unigram_bigram_nb,expanded_test_v2,per_role_f1,NEXT_STEP,1.000000
old_plus_expanded_train,word_unigram_bigram_nb,expanded_test_v2,per_role_f1,EXAMPLE,1.000000
old_plus_expanded_train,char_3_5gram_nb,locked_fresh_adjudicated,fine_8_accuracy,ALL,0.493671
old_plus_expanded_train,char_3_5gram_nb,locked_fresh_adjudicated,coarse_5_accuracy,ALL,0.556962
old_plus_expanded_train,char_3_5gram_nb,locked_fresh_adjudicated,coarse_4_accuracy,ALL,0.645570
old_plus_expanded_train,char_3_5gram_nb,locked_fresh_adjudicated,coarse_3_accuracy,ALL,0.797468
old_plus_expanded_train,char_3_5gram_nb,locked_fresh_adjudicated,per_role_f1,BACKGROUND,0.428571
old_plus_expanded_train,char_3_5gram_nb,locked_fresh_adjudicated,per_role_f1,CLAIM,0.500000
old_plus_expanded_train,char_3_5gram_nb,locked_fresh_adjudicated,per_role_f1,DEFINE,0.476190
old_plus_expanded_train,char_3_5gram_nb,locked_fresh_adjudicated,per_role_f1,METHOD,0.416667
old_plus_expanded_train,char_3_5gram_nb,locked_fresh_adjudicated,per_role_f1,RESULT,0.533333
old_plus_expanded_train,char_3_5gram_nb,locked_fresh_adjudicated,per_role_f1,LIMITATION,0.555556
old_plus_expanded_train,char_3_5gram_nb,locked_fresh_adjudicated,per_role_f1,NEXT_STEP,0.545455
old_plus_expanded_train,char_3_5gram_nb,locked_fresh_adjudicated,per_role_f1,EXAMPLE,0.500000
old_plus_expanded_train,char_3_5gram_nb,expanded_test_v2,fine_8_accuracy,ALL,1.000000
old_plus_expanded_train,char_3_5gram_nb,expanded_test_v2,coarse_5_accuracy,ALL,1.000000
old_plus_expanded_train,char_3_5gram_nb,expanded_test_v2,coarse_4_accuracy,ALL,1.000000
old_plus_expanded_train,char_3_5gram_nb,expanded_test_v2,coarse_3_accuracy,ALL,1.000000
old_plus_expanded_train,char_3_5gram_nb,expanded_test_v2,per_role_f1,BACKGROUND,1.000000
old_plus_expanded_train,char_3_5gram_nb,expanded_test_v2,per_role_f1,CLAIM,1.000000
old_plus_expanded_train,char_3_5gram_nb,expanded_test_v2,per_role_f1,DEFINE,1.000000
old_plus_expanded_train,char_3_5gram_nb,expanded_test_v2,per_role_f1,METHOD,1.000000
old_plus_expanded_train,char_3_5gram_nb,expanded_test_v2,per_role_f1,RESULT,1.000000
old_plus_expanded_train,char_3_5gram_nb,expanded_test_v2,per_role_f1,LIMITATION,1.000000
