taxonomy,model,group,accuracy,precision,recall,f1,support
C_4_role_compressed,pred_word_unigram_nb,CONTEXT,0.620253,0.571429,0.400000,0.470588,10
C_4_role_compressed,pred_word_unigram_bigram_nb,ACTION,0.632911,0.617647,0.724138,0.666667,29
C_4_role_compressed,pred_word_unigram_bigram_nb,CAVEAT,0.632911,0.666667,0.600000,0.631579,10
C_4_role_compressed,pred_word_unigram_bigram_nb,CONTENT,0.632911,0.656250,0.700000,0.677419,30
C_4_role_compressed,pred_word_unigram_bigram_nb,CONTEXT,0.632911,0.500000,0.200000,0.285714,10
C_4_role_compressed,pred_char_3_5gram_nb,ACTION,0.556962,0.511628,0.758621,0.611111,29
C_4_role_compressed,pred_char_3_5gram_nb,CAVEAT,0.556962,0.625000,0.500000,0.555556,10
C_4_role_compressed,pred_char_3_5gram_nb,CONTENT,0.556962,0.600000,0.500000,0.545455,30
C_4_role_compressed,pred_char_3_5gram_nb,CONTEXT,0.556962,0.666667,0.200000,0.307692,10
C_4_role_compressed,pred_centroid,ACTION,0.620253,0.633333,0.655172,0.644068,29
C_4_role_compressed,pred_centroid,CAVEAT,0.620253,0.750000,0.600000,0.666667,10
C_4_role_compressed,pred_centroid,CONTENT,0.620253,0.611111,0.733333,0.666667,30
C_4_role_compressed,pred_centroid,CONTEXT,0.620253,0.400000,0.200000,0.266667,10
D_3_role_compressed,pred_word_unigram_nb,CAVEAT,0.810127,0.600000,0.600000,0.600000,10
D_3_role_compressed,pred_word_unigram_nb,CONTEXT,0.810127,0.571429,0.400000,0.470588,10
D_3_role_compressed,pred_word_unigram_nb,SUBSTANTIVE,0.810127,0.870968,0.915254,0.892562,59
D_3_role_compressed,pred_word_unigram_bigram_nb,CAVEAT,0.810127,0.666667,0.600000,0.631579,10
D_3_role_compressed,pred_word_unigram_bigram_nb,CONTEXT,0.810127,0.500000,0.200000,0.285714,10
D_3_role_compressed,pred_word_unigram_bigram_nb,SUBSTANTIVE,0.810127,0.848485,0.949153,0.896000,59
D_3_role_compressed,pred_char_3_5gram_nb,CAVEAT,0.784810,0.625000,0.500000,0.555556,10
D_3_role_compressed,pred_char_3_5gram_nb,CONTEXT,0.784810,0.666667,0.200000,0.307692,10
D_3_role_compressed,pred_char_3_5gram_nb,SUBSTANTIVE,0.784810,0.808824,0.932203,0.866142,59
D_3_role_compressed,pred_centroid,CAVEAT,0.797468,0.750000,0.600000,0.666667,10
D_3_role_compressed,pred_centroid,CONTEXT,0.797468,0.400000,0.200000,0.266667,10
D_3_role_compressed,pred_centroid,SUBSTANTIVE,0.797468,0.833333,0.932203,0.880000,59
