variant,role_accuracy,entity_jaccard,entity_exact,relation_accuracy,answer_relevance_accuracy,strict_full_row,relaxed_1,relaxed_2,relaxed_3
ollama_full_v2,0.595000,0.389000,0.013000,0.430000,0.278000,0.013000,0.127000,0.127000,0.127000
ontology_v1_entity_baseline,0.329114,0.505696,0.075949,0.316456,0.886076,0.012658,0.164557,0.278481,0.430380
combined_v3,0.531646,0.505696,0.075949,0.443038,0.848101,0.050633,0.253165,0.354430,0.443038
ollama_role_ontology_entity_v1,0.595000,0.506000,0.076000,0.430000,0.278000,0.013000,0.177000,0.177000,0.190000
