problem_index,family,corruption_type,is_correct,verdict,caught,difference_multiple_of_M
12,fibonacci,digit_transpose,0,RULED_OUT_WRONG,1,0
12,fibonacci,off_by_power10,0,RULED_OUT_WRONG,1,0
12,fibonacci,sign_flip,0,RULED_OUT_WRONG,1,0
12,fibonacci,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
12,fibonacci,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
13,bigsum,correct,1,NOT_RULED_OUT,,1
13,bigsum,random_offset,0,RULED_OUT_WRONG,1,0
13,bigsum,digit_transpose,0,RULED_OUT_WRONG,1,0
13,bigsum,off_by_power10,0,RULED_OUT_WRONG,1,0
13,bigsum,sign_flip,0,RULED_OUT_WRONG,1,0
13,bigsum,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
13,bigsum,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
14,bigprod,correct,1,NOT_RULED_OUT,,1
14,bigprod,random_offset,0,RULED_OUT_WRONG,1,0
14,bigprod,digit_transpose,0,RULED_OUT_WRONG,1,0
14,bigprod,off_by_power10,0,RULED_OUT_WRONG,1,0
14,bigprod,sign_flip,0,RULED_OUT_WRONG,1,0
14,bigprod,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
14,bigprod,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
15,power,correct,1,NOT_RULED_OUT,,1
15,power,random_offset,0,RULED_OUT_WRONG,1,0
15,power,digit_transpose,0,RULED_OUT_WRONG,1,0
15,power,off_by_power10,0,RULED_OUT_WRONG,1,0
15,power,sign_flip,0,RULED_OUT_WRONG,1,0
15,power,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
15,power,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
16,factorial,correct,1,NOT_RULED_OUT,,1
16,factorial,random_offset,0,RULED_OUT_WRONG,1,0
16,factorial,digit_transpose,0,RULED_OUT_WRONG,1,0
16,factorial,off_by_power10,0,RULED_OUT_WRONG,1,0
16,factorial,sign_flip,0,RULED_OUT_WRONG,1,0
16,factorial,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
16,factorial,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
17,fibonacci,correct,1,NOT_RULED_OUT,,1
17,fibonacci,random_offset,0,RULED_OUT_WRONG,1,0
17,fibonacci,digit_transpose,0,RULED_OUT_WRONG,1,0
17,fibonacci,off_by_power10,0,RULED_OUT_WRONG,1,0
17,fibonacci,sign_flip,0,RULED_OUT_WRONG,1,0
17,fibonacci,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
17,fibonacci,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
18,bigsum,correct,1,NOT_RULED_OUT,,1
18,bigsum,random_offset,0,RULED_OUT_WRONG,1,0
18,bigsum,digit_transpose,0,RULED_OUT_WRONG,1,0
18,bigsum,off_by_power10,0,RULED_OUT_WRONG,1,0
18,bigsum,sign_flip,0,RULED_OUT_WRONG,1,0
18,bigsum,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
18,bigsum,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
19,bigprod,correct,1,NOT_RULED_OUT,,1
19,bigprod,random_offset,0,RULED_OUT_WRONG,1,0
19,bigprod,digit_transpose,0,RULED_OUT_WRONG,1,0
19,bigprod,off_by_power10,0,RULED_OUT_WRONG,1,0
19,bigprod,sign_flip,0,RULED_OUT_WRONG,1,0
19,bigprod,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
19,bigprod,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
20,power,correct,1,NOT_RULED_OUT,,1
20,power,random_offset,0,RULED_OUT_WRONG,1,0
20,power,digit_transpose,0,RULED_OUT_WRONG,1,0
20,power,off_by_power10,0,RULED_OUT_WRONG,1,0
20,power,sign_flip,0,RULED_OUT_WRONG,1,0
20,power,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
20,power,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
21,factorial,correct,1,NOT_RULED_OUT,,1
21,factorial,random_offset,0,RULED_OUT_WRONG,1,0
21,factorial,digit_transpose,0,RULED_OUT_WRONG,1,0
21,factorial,off_by_power10,0,RULED_OUT_WRONG,1,0
21,factorial,sign_flip,0,RULED_OUT_WRONG,1,0
21,factorial,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
